Optimizador;Error promedio MSE (50000 epochs)
descgradient;1.3196625361041772
descgradient;1.3196619797602962
descgradient;1.3196614234172048
descgradient;1.319660867075171
descgradient;1.319660310734094
descgradient;1.3196597543938633
descgradient;1.319659198054413
descgradient;1.319658641715937
descgradient;1.319658085378394
descgradient;1.3196575290417265
descgradient;1.3196569727059337
descgradient;1.319656416371105
descgradient;1.3196558600372514
descgradient;1.3196553037042795
descgradient;1.3196547473721385
descgradient;1.3196541910407997
descgradient;1.3196536347104435
descgradient;1.3196530783809626
descgradient;1.319652522052286
descgradient;1.3196519657245311
descgradient;1.3196514093974818
descgradient;1.3196508530715414
descgradient;1.3196502967464596
descgradient;1.3196497404221934
descgradient;1.319649184098908
descgradient;1.31964862777649
descgradient;1.3196480714549972
descgradient;1.319647515134253
descgradient;1.3196469588145012
descgradient;1.319646402495817
descgradient;1.3196458461780078
descgradient;1.3196452898611337
descgradient;1.3196447335451684
descgradient;1.3196441772299201
descgradient;1.3196436209154931
descgradient;1.3196430646021018
descgradient;1.3196425082895327
descgradient;1.3196419519779687
descgradient;1.3196413956674355
descgradient;1.319640839357777
descgradient;1.3196402830489615
descgradient;1.3196397267407698
descgradient;1.319639170433651
descgradient;1.3196386141276002
descgradient;1.319638057822421
descgradient;1.3196375015180888
descgradient;1.3196369452147512
descgradient;1.3196363889122489
descgradient;1.319635832610601
descgradient;1.3196352763099486
descgradient;1.3196347200100047
descgradient;1.319634163711082
descgradient;1.3196336074130437
descgradient;1.319633051115761
descgradient;1.3196324948194766
descgradient;1.3196319385242357
descgradient;1.3196313822296617
descgradient;1.3196308259359493
descgradient;1.319630269643098
descgradient;1.3196297133512107
descgradient;1.3196291570601804
descgradient;1.3196286007702298
descgradient;1.3196280444812782
descgradient;1.3196274881931356
descgradient;1.3196269319057443
descgradient;1.319626375619272
descgradient;1.3196258193337111
descgradient;1.3196252630491785
descgradient;1.319624706765529
descgradient;1.319624150482763
descgradient;1.3196235942007815
descgradient;1.3196230379196594
descgradient;1.3196224816394315
descgradient;1.3196219253602013
descgradient;1.3196213690819492
descgradient;1.3196208128043518
descgradient;1.319620256527828
descgradient;1.3196197002520793
descgradient;1.3196191439773193
descgradient;1.3196185877035418
descgradient;1.3196180314305717
descgradient;1.3196174751585656
descgradient;1.3196169188874265
descgradient;1.3196163626171704
descgradient;1.3196158063479793
descgradient;1.31961525007967
descgradient;1.3196146938121258
descgradient;1.3196141375454302
descgradient;1.319613581279566
descgradient;1.3196130250146187
descgradient;1.3196124687506963
descgradient;1.319611912487585
descgradient;1.319611356225354
descgradient;1.3196107999638915
descgradient;1.319610243703561
descgradient;1.319609687444193
descgradient;1.3196091311857225
descgradient;1.319608574927853
descgradient;1.3196080186709405
descgradient;1.3196074624150167
descgradient;1.3196069061600328
descgradient;1.3196063499059862
descgradient;1.3196057936527856
descgradient;1.3196052374005598
descgradient;1.3196046811492161
descgradient;1.3196041248986954
descgradient;1.3196035686489445
descgradient;1.319603012400138
descgradient;1.3196024561522113
descgradient;1.319601899905236
descgradient;1.3196013436591565
descgradient;1.3196007874140883
descgradient;1.3196002311698698
descgradient;1.3195996749264864
descgradient;1.3195991186840632
descgradient;1.3195985624425923
descgradient;1.3195980062020316
descgradient;1.3195974499622163
descgradient;1.319596893723392
descgradient;1.3195963374856412
descgradient;1.31959578124871
descgradient;1.319595225012604
descgradient;1.3195946687772462
descgradient;1.3195941125429194
descgradient;1.3195935563096632
descgradient;1.319593000077111
descgradient;1.3195924438453575
descgradient;1.3195918876145205
descgradient;1.3195913313845253
descgradient;1.3195907751554232
descgradient;1.3195902189273467
descgradient;1.3195896627002734
descgradient;1.3195891064739702
descgradient;1.3195885502484974
descgradient;1.3195879940240045
descgradient;1.3195874378003538
descgradient;1.3195868815776768
